epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
129,8.39e-09,8.163805,1.868982,8.163806,0.988320,3.290260,29.852940,0.956409,3.151400,26.297270,0.961774
130,8.39e-09,8.249828,1.878417,8.249828,0.988197,3.290168,29.852684,0.956409,3.151326,26.296476,0.961775
131,8.39e-09,8.123168,1.860152,8.123169,0.988378,3.290032,29.851616,0.956411,3.151292,26.295271,0.961777
132,8.39e-09,8.113247,1.859205,8.113247,0.988392,3.289815,29.851082,0.956411,3.151153,26.293816,0.961779
133,8.39e-09,8.574621,1.905710,8.574621,0.987732,3.290550,29.856823,0.956403,3.151539,26.299856,0.961770
134,8.39e-09,8.236265,1.898435,8.236264,0.988216,3.289611,29.850225,0.956413,3.150978,26.292158,0.961782
135,8.39e-09,8.190592,1.868086,8.190592,0.988282,3.290662,29.858292,0.956401,3.151557,26.301075,0.961769
136,8.39e-09,8.053379,1.878844,8.053379,0.988478,3.290678,29.858912,0.956400,3.151600,26.301279,0.961768
137,8.39e-09,8.419248,1.879068,8.419248,0.987955,3.290319,29.856964,0.956403,3.151345,26.298813,0.961772
138,8.39e-09,8.121630,1.848692,8.121630,0.988380,3.289745,29.852417,0.956409,3.151089,26.293180,0.961780
139,8.39e-09,8.168569,1.845793,8.168570,0.988313,3.289505,29.850145,0.956413,3.151024,26.290380,0.961784
140,8.39e-09,8.470086,1.885319,8.470086,0.987882,3.289834,29.853453,0.956408,3.151138,26.293728,0.961779
141,8.39e-09,8.352380,1.898935,8.352380,0.988050,3.289937,29.853798,0.956407,3.151212,26.294111,0.961779
142,8.39e-09,7.973920,1.855533,7.973920,0.988592,3.289764,29.852495,0.956409,3.151134,26.292547,0.961781
143,8.39e-09,8.121277,1.863464,8.121277,0.988381,3.289138,29.848417,0.956415,3.150741,26.287420,0.961788
144,8.39e-09,8.293426,1.882091,8.293427,0.988135,3.289104,29.847530,0.956417,3.150781,26.286736,0.961789
145,8.39e-09,8.215288,1.867383,8.215288,0.988246,3.289836,29.853363,0.956408,3.151173,26.293423,0.961780
146,8.39e-09,8.089411,1.869136,8.089411,0.988426,3.290119,29.856050,0.956404,3.151286,26.295996,0.961776
147,8.39e-09,8.108396,1.869705,8.108396,0.988399,3.290407,29.858524,0.956401,3.151465,26.298843,0.961772
148,8.39e-09,8.064020,1.855347,8.064019,0.988463,3.290953,29.863102,0.956394,3.151767,26.303965,0.961764
149,8.39e-09,8.355817,1.915691,8.355817,0.988045,3.291216,29.866041,0.956390,3.151869,26.306713,0.961760
150,8.39e-09,8.174370,1.852644,8.174371,0.988305,3.291228,29.865770,0.956390,3.151918,26.306501,0.961761
